Type,Coverage,AreaName,RegName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
Immigrants,Foreigners,Africa,Eastern Africa,2962,3884,3647,4689,4680,5524,4968,4425,4909,6197,8006,8607,7643,9105,8554,13611,12764,14023,10527,8839,10778,13373,18426,14901,21266,26524,41288,31724,36558,49416,34494,34001,35539,,
Immigrants,Foreigners,Africa,Middle Africa,379,326,324,337,386,371,402,404,419,498,824,881,576,620,648,983,1453,1467,1071,1189,1309,1431,2040,1663,2344,3101,5751,5917,6485,7744,7422,9228,9694,,
Immigrants,Foreigners,Africa,Northern Africa,3648,4226,3613,3501,3641,3938,4169,4502,4246,5328,6151,8426,6190,5973,5630,9858,11427,10295,9390,9676,10808,13080,12730,9480,14308,19380,23034,18349,18467,20065,18466,16966,17221,,
Immigrants,Foreigners,Africa,Southern Africa,2016,1605,1484,1315,1302,1252,1636,1785,1894,1950,2061,1880,2587,2262,2196,2641,3044,2148,1945,1608,2888,4192,3962,2305,3473,4681,3339,3121,2844,3335,2929,2812,2961,,
Immigrants,Foreigners,Africa,Western Africa,4808,4805,5030,5016,5325,5790,6093,6421,7212,10944,18578,16068,9794,9475,9508,15138,23922,19622,17483,15103,18558,21424,22774,20144,25012,31391,43991,35584,41549,46479,38040,37367,41806,,
Immigrants,Foreigners,Africa Total,,13813,14846,14098,14858,15334,16875,17268,17537,18680,24917,35620,35862,26790,27435,26536,42231,52610,47555,40416,36415,44341,53500,59932,48493,66403,85077,117403,94695,105903,127039,101351,100374,107221,,
Immigrants,Foreigners,Asia,Central Asia,..,..,..,..,..,..,..,..,..,..,..,..,2572,3800,5047,5484,6810,5033,1360,2302,3765,5204,5379,3762,4624,6121,7360,7255,9142,8158,7082,7475,7210,,
Immigrants,Foreigners,Asia,Eastern Asia,68317,66697,67923,69402,66173,69568,70105,70824,76661,81329,79544,75286,80066,100007,84128,63986,74209,66319,61778,54401,74078,95119,96548,62892,87329,109424,123900,110043,117995,101494,102558,119247,111655,,
Immigrants,Foreigners,Asia,South-Eastern Asia,110003,136317,176652,129670,112117,111482,113539,104004,107569,127460,144208,145080,163874,144115,111189,107189,111035,97782,61987,59632,81348,103907,99751,78422,105161,114203,138444,126871,107969,125338,120840,127193,121834,,
Immigrants,Foreigners,Asia,Southern Asia,39046,41092,39413,45362,48954,52397,53874,53329,51892,66721,73972,100094,67920,71510,62065,62491,79638,72028,68382,59089,74843,107668,107408,76112,107202,134817,116797,108496,117559,124351,133698,140092,133916,,
Immigrants,Foreigners,Asia,Western Asia,18460,19874,19479,16784,16671,16472,17382,17554,18524,22650,25583,24794,36955,37733,32639,29472,35028,27161,22072,21394,27903,33142,30862,22343,29609,37961,45746,36179,37285,45932,51148,51429,49648,,
Immigrants,Foreigners,Asia Total,,235826,263980,303467,261218,243915,249919,254900,245711,254646,298160,323307,345254,351387,357165,295068,268622,306720,268323,215579,196818,261937,345040,339948,243531,333925,402526,432247,388844,389950,405273,415326,445436,424263,,
Immigrants,Foreigners,Europe,Eastern Europe,7645,7693,9847,9803,14520,15910,14906,12555,14826,21132,27267,29452,62535,73320,77524,59606,72485,58837,39228,44449,59558,71372,70459,48529,61007,78906,68596,46565,44841,43126,35180,35805,36038,,
Immigrants,Foreigners,Europe,Northern Europe,18843,18166,17751,18305,17506,17198,18038,18971,20968,23787,29255,21553,36738,37205,38095,21913,20554,15637,13601,12065,19471,26140,23442,15495,22587,28878,25556,20871,19813,21882,18430,16726,17269,,
Immigrants,Foreigners,Europe,Southern Europe,20692,18005,12399,11130,11300,11182,11150,11107,10286,10858,12110,11296,9700,9876,10269,14375,20867,18299,15117,14515,24253,39496,40158,15444,22346,30208,21869,15203,14628,14833,13028,12588,12918,,
Immigrants,Foreigners,Europe,Western Europe,11248,10767,11078,11627,11747,12222,12565,12865,12235,12356,13897,12078,17295,13798,12862,11921,13488,11470,10257,9454,14486,18715,16539,9818,13912,18003,16596,14246,15043,15603,13813,12499,12405,,
Immigrants,Foreigners,Europe Total,,58428,54631,51075,50865,55073,56512,56659,55498,58315,68133,82529,74379,126268,134199,138750,107815,127394,104243,78203,80483,117768,155723,150598,89286,119852,155995,132617,96885,94325,95444,80451,77618,78630,,
Immigrants,Foreigners,Latin America and the Caribbean,Caribbean,72828,72829,66941,72925,73932,83028,101341,102661,112128,88682,115032,139953,97220,99199,104617,96606,116560,105090,75242,71315,86002,102716,95929,68490,88970,108354,146506,118921,136927,145918,139849,133522,127285,,
Immigrants,Foreigners,Latin America and the Caribbean,Central America,77648,125777,79732,83680,81645,87379,94913,101647,125754,506206,825270,1057260,271360,184723,151306,121746,207833,190482,166974,190492,236738,280886,287391,169939,237698,214908,248765,204566,240829,212788,183071,187153,187081,,
Immigrants,Foreigners,Latin America and the Caribbean,South America,39717,35913,35448,36087,37460,39058,41874,44385,41007,58761,85816,79754,55068,53921,47377,45666,61744,52831,45279,41444,55823,68483,74151,55028,72057,103134,137985,106525,98554,102876,87186,86095,79401,,
Immigrants,Foreigners,Latin America and the Caribbean Total,,190193,234519,182121,192692,193037,209465,238128,248693,278889,653649,1026118,1276967,423648,337843,303300,264018,386137,348403,287495,303251,378563,452085,457471,293457,398725,426396,533256,430012,476310,461582,410106,406770,393767,,
Immigrants,Foreigners,Northern America,Northern America,14023,11557,11127,11695,10950,11535,11212,12031,11950,12441,17140,13728,15424,17375,16233,13100,15954,11696,10222,8874,16163,21913,19524,11474,15726,22177,18700,15774,15417,16429,13601,13140,13296,,
Immigrants,Foreigners,Oceania,Australia and New Zealand,2219,1963,2029,1885,1904,2041,1964,1844,2024,2335,2583,2471,3205,3372,2967,2478,2749,2281,1764,1625,3008,4016,3674,2713,3735,4486,4349,3565,3357,3569,3431,3146,3228,,
Immigrants,Foreigners,Oceania,Melanesia,724,1060,685,733,901,980,999,1235,1055,988,1382,1377,832,872,1041,1507,1875,1564,1732,1613,1511,1485,1241,1134,1618,1469,2150,1678,1198,1226,1243,1066,874,,
Immigrants,Foreigners,Oceania,Micronesia,..,..,9,7,..,..,5,10,3,60,107,95,80,60,35,30,12,11,20,3,14,9,36,42,59,50,81,76,62,90,71,54,79,,
Immigrants,Foreigners,Oceania,Polynesia,816,1026,985,783,843,887,785,784,691,970,2103,2285,1047,589,544,669,645,462,393,392,553,536,526,446,555,516,785,766,632,678,592,696,544,,
Immigrants,Foreigners,Oceania Total,,3759,4049,3708,3408,3648,3908,3753,3873,3773,4353,6175,6228,5164,4893,4587,4684,5281,4318,3909,3633,5086,6046,5477,4335,5967,6521,7365,6085,5249,5563,5337,4962,4725,,
Immigrants,Foreigners,Unknown,Unknown,14597,13018,28535,25027,21946,21795,19788,18173,16772,29271,45594,74749,25294,25382,19942,19989,21464,13309,17382,15313,17144,24595,26406,12966,17285,23565,24541,20120,19972,19488,16453,13740,9729,,
